method,method_label,problem,valid_ppa_count,area_power_front_count,active_objective_front_count,pooled_area_power_front_count,best_score,min_area,min_power
classic_revolution,T44 Classic,Prob045_alu,35,1,1,1,0.419778237729,1631,0.00087
classic_revolution,T44 Classic,Prob041_traffic_light,25,4,4,2,0.389132171387,114,0.000294
classic_revolution,T44 Classic,Prob015_multi_pipe_8bit,16,1,6,0,0.0379114142262,623,0.0911
t11_runtime_top8_graph_qd,T44 T11 graph,Prob045_alu,16,2,2,0,0.404449011105,1731,0.000975
t11_runtime_top8_graph_qd,T44 T11 graph,Prob041_traffic_light,7,2,2,1,0.389132171387,120,0.000294
t11_runtime_top8_graph_qd,T44 T11 graph,Prob015_multi_pipe_8bit,13,1,7,1,0.116396797189,591,0.0689
staged_sparse_yield_gate_qd,T43 staged gate,Prob045_alu,23,3,3,0,0.401364347198,1752,0.000949
staged_sparse_yield_gate_qd,T43 staged gate,Prob041_traffic_light,26,7,7,5,0.407742072137,110,0.000348
staged_sparse_yield_gate_qd,T43 staged gate,Prob015_multi_pipe_8bit,13,1,7,0,0.0527945329906,600,0.0874
t39_sparse_warmup_elite_slot_qd,T39 one-slot,Prob045_alu,18,3,3,0,0.402072475195,1747,0.000975
t39_sparse_warmup_elite_slot_qd,T39 one-slot,Prob041_traffic_light,15,3,3,2,0.40382050351,132,0.000294
t39_sparse_warmup_elite_slot_qd,T39 one-slot,Prob015_multi_pipe_8bit,11,5,8,1,0.2222851659,600,0.0368
