backend,benchmark,problem,functionality_rate,synthesis_rate,best_score,runtime_seconds,qd_archive_type,qd_coverage,qd_score,qd_best_quality
classic_revolution,RTLLM,Prob001_accu,0.875,0.875,0.07583123348604481,1587.563976764679,,,,
classic_revolution,RTLLM,Prob002_adder_16bit,1.0,1.0,0.3999021508354103,1675.7069671154022,,,,
classic_revolution,RTLLM,Prob003_adder_32bit,0.9166666666666666,0.9166666666666666,0.5578876849662902,2034.8333942890167,,,,
classic_revolution,RTLLM,Prob004_adder_8bit,0.6041666666666666,0.6041666666666666,0.38154412826809186,1597.3202075958252,,,,
classic_revolution,RTLLM,Prob005_adder_bcd,0.9583333333333334,0.9583333333333334,0.3969830757910228,1551.8526570796967,,,,
classic_revolution,RTLLM,Prob007_comparator_3bit,0.9791666666666666,0.9791666666666666,0.3500699566268913,1189.6133008003235,,,,
classic_revolution,RTLLM,Prob008_comparator_4bit,0.9166666666666666,0.9166666666666666,0.4526954545454546,1494.1139776706696,,,,
classic_revolution,RTLLM,Prob009_div_16bit,0.75,0.75,0.5591477755421418,1728.6748747825623,,,,
classic_revolution,RTLLM,Prob010_radix2_div,0.0,0.0,,2408.193206548691,,,,
classic_revolution,RTLLM,Prob011_multi_16bit,0.4375,0.4375,0.3167341245834893,1953.3081057071686,,,,
classic_revolution,RTLLM,Prob012_multi_8bit,0.7708333333333334,0.7708333333333334,0.4607810030249317,1393.8587896823883,,,,
classic_revolution,RTLLM,Prob014_multi_pipe_4bit,0.6666666666666666,0.0,,1810.1599383354187,,,,
classic_revolution,RTLLM,Prob015_multi_pipe_8bit,0.3125,0.2916666666666667,0.06819686318766739,2206.4856469631195,,,,
classic_revolution,RTLLM,Prob016_fixed_point_adder,0.8541666666666666,0.0,,1605.7434515953064,,,,
classic_revolution,RTLLM,Prob017_fixed_point_substractor,0.9375,0.0,,1586.859529018402,,,,
classic_revolution,RTLLM,Prob019_sub_64bit,0.875,0.875,0.48228021147642647,1574.858386516571,,,,
classic_revolution,RTLLM,Prob020_JC_counter,0.875,0.875,-0.0,1468.3329350948334,,,,
classic_revolution,RTLLM,Prob021_counter_12,0.9583333333333334,0.9583333333333334,0.33055634223858527,1224.334884405136,,,,
classic_revolution,RTLLM,Prob022_ring_counter,0.0,0.0,,1089.8660249710083,,,,
classic_revolution,RTLLM,Prob023_up_down_counter,0.75,0.75,0.21578135730835912,1304.9516487121582,,,,
classic_revolution,RTLLM,Prob024_fsm,0.2916666666666667,0.25,0.6316181837138983,1647.8198599815369,,,,
