sample_index,corpus,problem_id,split
0,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,train
1,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,train
2,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,train
3,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,train
4,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,train
5,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,train
6,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,holdout
7,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,holdout
8,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,holdout
9,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,holdout
10,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,holdout
11,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,holdout
12,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,train
13,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,train
14,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,train
15,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,train
16,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,train
17,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob003_adder_32bit,train
18,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,holdout
19,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,holdout
20,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,holdout
21,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,holdout
22,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,holdout
23,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob004_adder_8bit,holdout
24,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,holdout
25,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,holdout
26,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,holdout
27,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,holdout
28,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,holdout
29,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob005_adder_bcd,holdout
30,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob007_comparator_3bit,train
31,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob007_comparator_3bit,train
32,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob007_comparator_3bit,train
33,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob007_comparator_3bit,train
34,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob007_comparator_3bit,train
35,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob007_comparator_3bit,train
36,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob008_comparator_4bit,holdout
37,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob008_comparator_4bit,holdout
38,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob008_comparator_4bit,holdout
39,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob008_comparator_4bit,holdout
40,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob008_comparator_4bit,holdout
41,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob008_comparator_4bit,holdout
