root,corpus,stratum,method_count,seed_count,problem_count,candidate_count,code_artifacts,netlist_artifacts,ppa_artifacts,notes
/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM,rtllm_gen20,partially_paired,1,1,50,10413,10413,2600,2335,broad historical RTLLM 20-generation REvolution corpus
/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/classic_revolution/seed_1001/standard_results,auto_bd_standard_results,fully_paired_within_seed,1,1,13,1560,indexed in standard results,indexed in standard results,740,20260618 Auto-BD negative/control evidence
/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/classic_revolution/seed_1002/standard_results,auto_bd_standard_results,fully_paired_within_seed,1,1,13,1560,indexed in standard results,indexed in standard results,735,20260618 Auto-BD negative/control evidence
/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/classic_revolution/seed_1003/standard_results,auto_bd_standard_results,fully_paired_within_seed,1,1,13,1560,indexed in standard results,indexed in standard results,730,20260618 Auto-BD negative/control evidence
/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/landing_smooth_qd_manual_bd/seed_1001/standard_results,auto_bd_standard_results,fully_paired_within_seed,1,1,13,1560,indexed in standard results,indexed in standard results,785,20260618 Auto-BD negative/control evidence
/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/landing_smooth_qd_manual_bd/seed_1002/standard_results,auto_bd_standard_results,fully_paired_within_seed,1,1,13,1560,indexed in standard results,indexed in standard results,807,20260618 Auto-BD negative/control evidence
/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/landing_smooth_qd_manual_bd/seed_1003/standard_results,auto_bd_standard_results,fully_paired_within_seed,1,1,13,1560,indexed in standard results,indexed in standard results,799,20260618 Auto-BD negative/control evidence
/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/random_descriptor_qd/seed_1001/standard_results,auto_bd_standard_results,fully_paired_within_seed,1,1,13,1560,indexed in standard results,indexed in standard results,614,20260618 Auto-BD negative/control evidence
/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/random_descriptor_qd/seed_1002/standard_results,auto_bd_standard_results,fully_paired_within_seed,1,1,13,1560,indexed in standard results,indexed in standard results,696,20260618 Auto-BD negative/control evidence
/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/random_descriptor_qd/seed_1003/standard_results,auto_bd_standard_results,fully_paired_within_seed,1,1,13,1560,indexed in standard results,indexed in standard results,635,20260618 Auto-BD negative/control evidence
/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/sr_random_relu_pca_qd/seed_1001/standard_results,auto_bd_standard_results,fully_paired_within_seed,1,1,13,1560,indexed in standard results,indexed in standard results,616,20260618 Auto-BD negative/control evidence
/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/sr_random_relu_pca_qd/seed_1002/standard_results,auto_bd_standard_results,fully_paired_within_seed,1,1,13,1560,indexed in standard results,indexed in standard results,638,20260618 Auto-BD negative/control evidence
/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/sr_random_relu_pca_qd/seed_1003/standard_results,auto_bd_standard_results,fully_paired_within_seed,1,1,13,1560,indexed in standard results,indexed in standard results,652,20260618 Auto-BD negative/control evidence
/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/synthesis_trajectory_nod/seed_1001/standard_results,auto_bd_standard_results,fully_paired_within_seed,1,1,13,1560,indexed in standard results,indexed in standard results,652,20260618 Auto-BD negative/control evidence
/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/synthesis_trajectory_nod/seed_1002/standard_results,auto_bd_standard_results,fully_paired_within_seed,1,1,13,1560,indexed in standard results,indexed in standard results,600,20260618 Auto-BD negative/control evidence
/aux/revolution-history/.worktrees/journal-auto-bd-exp-20260618/exp/auto_bd_research/main_screening_screening_seed3/synthesis_trajectory_nod/seed_1003/standard_results,auto_bd_standard_results,fully_paired_within_seed,1,1,13,1560,indexed in standard results,indexed in standard results,644,20260618 Auto-BD negative/control evidence
