method,method_label,problem,candidate_id,generation,strategy,score,area,power,eff_clk_period,g_A,g_P,g_T,active_objectives,is_area_power_front,is_active_objective_front,is_pooled_area_power_front,code_file_path
classic_revolution,T46 Classic,Prob045_alu,69f3a211-8de3-45e5-beed-2f9442a8cbb0,0,initial,0.37290492148,1939,0.00112,0,0.128539325843,0.990175438596,0,area;power,false,false,false,/workspace/exp/useful_bd_push/t46_t11_runtime_pca4_graph_20260622_182358_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen0/Prob045_alu_sample4_initial/code.sv
classic_revolution,T46 Classic,Prob045_alu,d2c2fb1f-6a28-4478-b2ca-2343c35f03dd,0,initial,0.369579801564,1961,0.00113,0,0.118651685393,0.990087719298,0,area;power,false,false,false,/workspace/exp/useful_bd_push/t46_t11_runtime_pca4_graph_20260622_182358_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen0/Prob045_alu_sample7_initial/code.sv
classic_revolution,T46 Classic,Prob045_alu,7e5bd6f4-1243-4cce-ad26-8a8bc6ad798f,0,initial,0.395278270583,1792,0.001,0,0.194606741573,0.991228070175,0,area;power,false,false,false,/workspace/exp/useful_bd_push/t46_t11_runtime_pca4_graph_20260622_182358_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen0/Prob045_alu_sample12_initial/code.sv
classic_revolution,T46 Classic,Prob045_alu,0e070a00-36d6-41a6-aafe-e77bb040ce04,1,M-I,0.387061962021,1847,0.000992,0,0.169887640449,0.991298245614,0,area;power,false,false,false,/workspace/exp/useful_bd_push/t46_t11_runtime_pca4_graph_20260622_182358_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen1/Prob045_alu_sample10_M-I/code.sv
classic_revolution,T46 Classic,Prob045_alu,acc959bc-1bc9-49f6-adc7-97f6a54b101f,1,M-E,0.392358039293,1812,0.000974,0,0.185617977528,0.991456140351,0,area;power,false,false,false,/workspace/exp/useful_bd_push/t46_t11_runtime_pca4_graph_20260622_182358_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen1/Prob045_alu_sample11_M-E/code.sv
classic_revolution,T46 Classic,Prob045_alu,7bc9159b-0a18-4c88-9e50-66c932f3c492,1,C-F,0.376442801761,1918,0.000986,0,0.13797752809,0.991350877193,0,area;power,false,false,false,/workspace/exp/useful_bd_push/t46_t11_runtime_pca4_graph_20260622_182358_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen1/Prob045_alu_sample12_C-F/code.sv
classic_revolution,T46 Classic,Prob045_alu,685344c0-6053-4fa0-923b-bf4289f5c2e0,2,M-S,0.373141073658,1940,0.000988,0,0.12808988764,0.991333333333,0,area;power,false,false,false,/workspace/exp/useful_bd_push/t46_t11_runtime_pca4_graph_20260622_182358_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen2/Prob045_alu_sample7_M-S/code.sv
classic_revolution,T46 Classic,Prob045_alu,68edcc34-21b4-4c98-a74b-1b9d907833f8,2,M-R,0.365469150404,1990,0.00105,0,0.105617977528,0.990789473684,0,area;power,false,false,false,/workspace/exp/useful_bd_push/t46_t11_runtime_pca4_graph_20260622_182358_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen2/Prob045_alu_sample8_M-R/code.sv
classic_revolution,T46 Classic,Prob045_alu,36ce8bb6-9f04-4391-9cd0-8b3a79e60cc9,2,M-S,0.374066955779,1933,0.00103,0,0.131235955056,0.990964912281,0,area;power,false,false,false,/workspace/exp/useful_bd_push/t46_t11_runtime_pca4_graph_20260622_182358_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen2/Prob045_alu_sample9_M-S/code.sv
classic_revolution,T46 Classic,Prob045_alu,f24c46ad-84d3-4652-aba8-59df0226f048,2,M-S,0.378502858269,1903,0.00105,0,0.144719101124,0.990789473684,0,area;power,false,false,false,/workspace/exp/useful_bd_push/t46_t11_runtime_pca4_graph_20260622_182358_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen2/Prob045_alu_sample10_M-S/code.sv
classic_revolution,T46 Classic,Prob045_alu,fa60eb0e-7c94-4936-a05f-fd3ec1af33a1,2,M-R,0.36825711282,1971,0.00107,0,0.114157303371,0.990614035088,0,area;power,false,false,false,/workspace/exp/useful_bd_push/t46_t11_runtime_pca4_graph_20260622_182358_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen2/Prob045_alu_sample11_M-R/code.sv
classic_revolution,T46 Classic,Prob045_alu,d6a4982e-b5f5-4df1-b2f8-ad22fb52695a,2,M-S,0.381386621986,1885,0.000986,0,0.152808988764,0.991350877193,0,area;power,false,false,false,/workspace/exp/useful_bd_push/t46_t11_runtime_pca4_graph_20260622_182358_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen2/Prob045_alu_sample12_M-S/code.sv
classic_revolution,T46 Classic,Prob045_alu,51015748-fda0-44a2-a212-56d86e11cfb7,3,M-E,0.375835468822,1921,0.00104,0,0.136629213483,0.990877192982,0,area;power,false,false,false,/workspace/exp/useful_bd_push/t46_t11_runtime_pca4_graph_20260622_182358_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen3/Prob045_alu_sample1_M-E/code.sv
classic_revolution,T46 Classic,Prob045_alu,77c07279-cbf3-4c4f-99f5-39cdebcb3a2c,3,M-E,0.395249030817,1792,0.00101,0,0.194606741573,0.991140350877,0,area;power,false,false,false,/workspace/exp/useful_bd_push/t46_t11_runtime_pca4_graph_20260622_182358_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen3/Prob045_alu_sample2_M-E/code.sv
classic_revolution,T46 Classic,Prob045_alu,8cd0157f-bbb2-4a0e-acac-5a95a938dd55,3,C-F,0.378502858269,1903,0.00105,0,0.144719101124,0.990789473684,0,area;power,false,false,false,/workspace/exp/useful_bd_push/t46_t11_runtime_pca4_graph_20260622_182358_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen3/Prob045_alu_sample3_C-F/code.sv
classic_revolution,T46 Classic,Prob045_alu,fdb3fa3a-6628-47be-9ca1-04278699546a,3,M-I,0.381953709179,1881,0.000997,0,0.154606741573,0.991254385965,0,area;power,false,false,false,/workspace/exp/useful_bd_push/t46_t11_runtime_pca4_graph_20260622_182358_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen3/Prob045_alu_sample4_M-I/code.sv
classic_revolution,T46 Classic,Prob045_alu,91ffaf93-5334-4f98-905e-60d731e7716f,3,M-I,0.382273802484,1879,0.00099,0,0.155505617978,0.991315789474,0,area;power,false,false,false,/workspace/exp/useful_bd_push/t46_t11_runtime_pca4_graph_20260622_182358_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen3/Prob045_alu_sample5_M-I/code.sv
classic_revolution,T46 Classic,Prob045_alu,6e345dbb-0fab-478d-a554-4f1c1ba8e616,3,C-F,0.391511794467,1818,0.000956,0,0.182921348315,0.991614035088,0,area;power,false,false,false,/workspace/exp/useful_bd_push/t46_t11_runtime_pca4_graph_20260622_182358_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Gen3/Prob045_alu_sample6_C-F/code.sv
