candidate_id,corpus,benchmark,problem,nearest_candidate_id,nearest_corpus,nearest_benchmark,nearest_problem,cosine,same_normalized_rtl,same_canonical_netlist
d68314ae-23e8-464f-8760-77c18a310bf3,rtllm_gen20,RTLLM,Prob001_accu,d8913b62-8c8d-4123-9434-66d447c2c35f,rtllm_gen20,RTLLM,Prob001_accu,0.906218,False,False
5aa56c67-25dc-4d2d-b61f-6be20024fbf7,rtllm_gen20,RTLLM,Prob001_accu,373fd82a-98f9-4274-8c59-1e02550e0bfb,aspdac2026_release,RTLLM,Prob001_accu,0.930843,False,False
d8913b62-8c8d-4123-9434-66d447c2c35f,rtllm_gen20,RTLLM,Prob001_accu,5aa56c67-25dc-4d2d-b61f-6be20024fbf7,rtllm_gen20,RTLLM,Prob001_accu,0.925900,False,False
682fa792-c8a4-4ca0-a9fa-70c1b0fa883a,auto_bd_standard_results,RTLLM,Prob004_adder_8bit,d8ac4d9c-41bb-445c-8ef8-83e2ae4a3d32,auto_bd_standard_results,RTLLM,Prob004_adder_8bit,0.890702,True,False
52d88106-fa05-4a80-86e0-c32de165458c,auto_bd_standard_results,RTLLM,Prob004_adder_8bit,d8ac4d9c-41bb-445c-8ef8-83e2ae4a3d32,auto_bd_standard_results,RTLLM,Prob004_adder_8bit,0.960141,True,True
d8ac4d9c-41bb-445c-8ef8-83e2ae4a3d32,auto_bd_standard_results,RTLLM,Prob004_adder_8bit,52d88106-fa05-4a80-86e0-c32de165458c,auto_bd_standard_results,RTLLM,Prob004_adder_8bit,0.960141,True,True
4c5ed487-62f2-49f7-9344-7238fab7035b,auto_bd_standard_results,VerilogEval-Spec-to-RTL,Prob098_circuit7,00c7ec83-219e-46f7-b227-ea81e5652553,auto_bd_standard_results,VerilogEval-Spec-to-RTL,Prob098_circuit7,0.872567,True,True
40d47b53-7638-4d5d-95a5-a9ca73a32808,auto_bd_standard_results,VerilogEval-Spec-to-RTL,Prob098_circuit7,00c7ec83-219e-46f7-b227-ea81e5652553,auto_bd_standard_results,VerilogEval-Spec-to-RTL,Prob098_circuit7,0.967009,True,False
00c7ec83-219e-46f7-b227-ea81e5652553,auto_bd_standard_results,VerilogEval-Spec-to-RTL,Prob098_circuit7,40d47b53-7638-4d5d-95a5-a9ca73a32808,auto_bd_standard_results,VerilogEval-Spec-to-RTL,Prob098_circuit7,0.967009,True,False
dc3822c5-88fc-4cb7-a5dc-174a4b777322,aspdac2026_release,RTLLM,Prob001_accu,373fd82a-98f9-4274-8c59-1e02550e0bfb,aspdac2026_release,RTLLM,Prob001_accu,0.986181,False,True
373fd82a-98f9-4274-8c59-1e02550e0bfb,aspdac2026_release,RTLLM,Prob001_accu,dc3822c5-88fc-4cb7-a5dc-174a4b777322,aspdac2026_release,RTLLM,Prob001_accu,0.986181,False,True
44554646-006f-4ea3-8fac-b456771a1651,aspdac2026_release,RTLLM,Prob001_accu,dc3822c5-88fc-4cb7-a5dc-174a4b777322,aspdac2026_release,RTLLM,Prob001_accu,0.964202,False,True
8d7983ac-d9d0-499c-8f70-f33aee2df68f,aspdac2026_release,VerilogEval-Spec-to-RTL,Prob001_zero,b30e484c-e8a3-4f56-9d90-088082590af6,aspdac2026_release,VerilogEval-Spec-to-RTL,Prob001_zero,0.874362,False,True
1bb11adb-f816-42a4-8421-da3621d1bed5,aspdac2026_release,VerilogEval-Spec-to-RTL,Prob001_zero,b30e484c-e8a3-4f56-9d90-088082590af6,aspdac2026_release,VerilogEval-Spec-to-RTL,Prob001_zero,0.866258,False,True
b30e484c-e8a3-4f56-9d90-088082590af6,aspdac2026_release,VerilogEval-Spec-to-RTL,Prob001_zero,8d7983ac-d9d0-499c-8f70-f33aee2df68f,aspdac2026_release,VerilogEval-Spec-to-RTL,Prob001_zero,0.874362,False,True
