candidate_id,nearest_candidate_id,nearest_cosine,same_backend,same_problem,same_canonical_sha256
9578b202-895c-4404-8e9c-eac5e9363e44,197d6cd4-22ca-458c-8a6f-a751e9b2fbd8,0.962781966,True,True,False
30385121-6f9f-4cf7-b9a4-f7c274a02fae,7e300b92-40f5-4d95-b74c-793104eda26e,1.000260353,True,True,False
9f07b5aa-c559-494d-8710-2abeff5ec637,e726a782-e3ac-4c26-944d-5ee0d8d9598e,0.989368558,True,True,False
7e300b92-40f5-4d95-b74c-793104eda26e,30385121-6f9f-4cf7-b9a4-f7c274a02fae,1.000260353,True,True,False
add293ac-3938-4e14-977c-5fa87e780d56,cbb3601d-7cc5-4356-ac3e-5269904a3f35,0.992387354,True,True,False
aa76343b-ccab-4e5f-a6e7-ac5ffa4fb0a4,30385121-6f9f-4cf7-b9a4-f7c274a02fae,0.997880042,True,True,False
93b92fd4-6206-41c2-b8eb-4b6ed488e40b,aa76343b-ccab-4e5f-a6e7-ac5ffa4fb0a4,0.975617528,True,True,False
228d1ab4-a2db-4af4-94ef-0a42404663a9,40bac0aa-ba6f-4c1f-b077-3132d453e369,0.994427204,True,True,False
cbb3601d-7cc5-4356-ac3e-5269904a3f35,add293ac-3938-4e14-977c-5fa87e780d56,0.992387354,True,True,False
197d6cd4-22ca-458c-8a6f-a751e9b2fbd8,5e1a84ec-625e-4c90-85da-3a938a338606,0.965892911,False,True,False
8e49f26e-bcba-4591-bcfa-15270ce78bb6,7013c4fe-1691-480f-879b-9e8df9a00fb1,0.992769480,True,True,False
d65c5618-f567-46da-a79a-ad073e17c052,2fc4541c-4cdf-452e-86ea-461ab3d64c31,0.973818421,True,True,False
e726a782-e3ac-4c26-944d-5ee0d8d9598e,9f07b5aa-c559-494d-8710-2abeff5ec637,0.989368558,True,True,False
deecbf24-2123-47f0-a084-6211574e07aa,30385121-6f9f-4cf7-b9a4-f7c274a02fae,0.962127745,True,True,False
0f28a9a0-2736-4141-a82f-5ff47533345e,65a387a6-ecbe-4d74-a0d9-71e0fa2e4af1,0.989698172,True,True,False
2fc4541c-4cdf-452e-86ea-461ab3d64c31,d65c5618-f567-46da-a79a-ad073e17c052,0.973818421,True,True,False
76e5890b-6bdf-4dc7-9150-0040b48062f8,7013c4fe-1691-480f-879b-9e8df9a00fb1,0.975559115,True,True,False
af1946e5-6477-4938-8837-aa9f91b485d0,ecdf86d1-cb57-4a90-8663-6c362cc16c49,0.977783501,False,True,False
d77d0daf-9181-41cd-87ee-01a9c4439244,7013c4fe-1691-480f-879b-9e8df9a00fb1,0.995468736,True,True,False
e8630af6-5cdc-4fb4-a294-00528c8cde7c,40bac0aa-ba6f-4c1f-b077-3132d453e369,0.991396844,True,True,False
40bac0aa-ba6f-4c1f-b077-3132d453e369,228d1ab4-a2db-4af4-94ef-0a42404663a9,0.994427204,True,True,False
