method,problem,candidate_id,lowering_status,cell_count,error,code_file_path
classic_revolution,Prob001_accu,026999d6-b531-4cf6-aba1-81f6fe0c221a,lowered,12,,/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen0/Prob001_accu_sample2_initial/code.sv
classic_revolution,Prob001_accu,73d4783f-48ee-4b2d-87d6-d1c1666471d2,lowered,12,,/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen0/Prob001_accu_sample4_initial/code.sv
classic_revolution,Prob001_accu,ccc0f2c8-4fce-4278-9c2e-0d11911ee902,lowered,12,,/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen0/Prob001_accu_sample1_initial/code.sv
classic_revolution,Prob001_accu,60bf682f-e4ff-4230-8dfd-38ac782ab74b,lowered,12,,/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen1/Prob001_accu_sample4_C-F/code.sv
classic_revolution,Prob001_accu,62693c58-5f3a-4f6a-9789-6ecdf1d20298,lowered,21,,/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen1/Prob001_accu_sample3_M-E/code.sv
classic_revolution,Prob001_accu,37a55078-8ab0-4a61-ae4f-61a553f26f35,lowered,12,,/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen2/Prob001_accu_sample8_M-I/code.sv
classic_revolution,Prob001_accu,824c4f02-83be-47ed-b58f-00854c04456f,lowered,14,,/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen2/Prob001_accu_sample1_M-E/code.sv
classic_revolution,Prob001_accu,87697070-41eb-4339-9f0a-a2f83d12fbf8,lowered,13,,/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen2/Prob001_accu_sample4_M-R/code.sv
classic_revolution,Prob001_accu,454b042a-e4c0-4f30-b9ba-d94a9a2b49e8,lowered,12,,/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen3/Prob001_accu_sample5_C-F/code.sv
classic_revolution,Prob001_accu,848a0d74-0768-4d98-b49e-ca6c3d199d13,lowered,13,,/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen3/Prob001_accu_sample1_M-I/code.sv
classic_revolution,Prob001_accu,aed1ddd2-c869-4c62-9a28-3ecddcebb90c,lowered,12,,/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen3/Prob001_accu_sample2_C-F/code.sv
classic_revolution,Prob002_adder_16bit,5b7c7fc9-fbc3-41f3-b1f5-4cfd1329bee1,lowered,50,,/workspace/exp/useful_bd_push/rtllm_milestone_full_20260622_142254_UTC/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen0/Prob002_adder_16bit_sample5_initial/code.sv
