view,sample_index,candidate_id,nearest_sample_index,nearest_candidate_id,nearest_cosine,same_problem,same_corpus,same_normalized_rtl,same_canonical_netlist,same_motif_signature,same_style_cluster
canonical_rtl,0,0da4814c-1761-45a2-b5fe-a8c7b91f8285,2,373fd82a-98f9-4274-8c59-1e02550e0bfb,0.999651670,True,True,False,False,False,True
canonical_rtl,1,18718aa9-e7a3-4012-b294-eb8dda550071,0,0da4814c-1761-45a2-b5fe-a8c7b91f8285,0.998196900,True,True,False,False,False,True
canonical_rtl,2,373fd82a-98f9-4274-8c59-1e02550e0bfb,0,0da4814c-1761-45a2-b5fe-a8c7b91f8285,0.999651670,True,True,False,False,False,True
canonical_rtl,3,41b90195-433d-4a3e-9c4a-7b81d2e91243,0,0da4814c-1761-45a2-b5fe-a8c7b91f8285,0.998306811,True,True,False,False,False,True
canonical_rtl,4,44554646-006f-4ea3-8fac-b456771a1651,5,486a3394-f1d9-4a02-984d-ebfbdd7fa3c1,0.999410152,True,True,False,False,False,True
canonical_rtl,5,486a3394-f1d9-4a02-984d-ebfbdd7fa3c1,4,44554646-006f-4ea3-8fac-b456771a1651,0.999410152,True,True,False,False,False,True
canonical_rtl,6,082595e8-f681-47b4-82e9-aa80f005d4ed,341,6079c10d-8200-4a36-ba41-81cada6f5e0d,0.999124289,False,False,False,False,False,True
canonical_rtl,7,1f20afb6-2f3a-4324-be1f-2ae8e334123c,10,4b3a3629-2df3-4566-89f5-8d1ab7e25499,1.000000358,True,True,True,False,False,True
canonical_rtl,8,323f8192-534b-4be6-9128-19b5527704a3,18,5c8bbaf4-57a0-4235-822e-871452f3d72e,0.960792482,False,True,False,False,False,True
canonical_rtl,9,3abfdc5a-3150-4a7f-9611-86e2683012a7,11,5caae1de-2020-485f-b97b-307f47b93805,1.000000119,True,True,False,False,False,True
canonical_rtl,10,4b3a3629-2df3-4566-89f5-8d1ab7e25499,7,1f20afb6-2f3a-4324-be1f-2ae8e334123c,1.000000358,True,True,True,False,False,True
canonical_rtl,11,5caae1de-2020-485f-b97b-307f47b93805,9,3abfdc5a-3150-4a7f-9611-86e2683012a7,1.000000119,True,True,False,False,False,True
canonical_rtl,12,230f52a5-d871-4989-8151-7ac8fab10979,16,d685dd41-2bf9-4bf4-a677-eebf524b745c,0.994431019,True,True,False,False,False,True
canonical_rtl,13,3d0e8316-7919-4f19-9b37-70455bff39ff,14,4af24fbc-50b4-4600-ae64-31656eb3b253,0.996059835,True,True,False,False,False,True
canonical_rtl,14,4af24fbc-50b4-4600-ae64-31656eb3b253,15,52c6fa40-248f-4006-a675-014c29d2480e,0.999558032,True,True,False,False,False,True
canonical_rtl,15,52c6fa40-248f-4006-a675-014c29d2480e,14,4af24fbc-50b4-4600-ae64-31656eb3b253,0.999558032,True,True,False,False,False,True
canonical_rtl,16,d685dd41-2bf9-4bf4-a677-eebf524b745c,12,230f52a5-d871-4989-8151-7ac8fab10979,0.994431019,True,True,False,False,False,True
canonical_rtl,17,e82f13d6-379e-4a24-b965-297f2b0cfd15,14,4af24fbc-50b4-4600-ae64-31656eb3b253,0.994182348,True,True,False,False,False,True
canonical_rtl,18,5c8bbaf4-57a0-4235-822e-871452f3d72e,20,6bda235f-55f8-4080-872a-8b72e1698e68,0.999999881,True,True,False,False,False,True
canonical_rtl,19,65488f0c-bdb8-412c-b7ed-c3f73077f848,256,def7aff6-c7cd-47d6-bf4d-e5a4e5d0b4bd,0.999999940,False,False,False,False,False,False
canonical_rtl,20,6bda235f-55f8-4080-872a-8b72e1698e68,18,5c8bbaf4-57a0-4235-822e-871452f3d72e,0.999999881,True,True,False,False,False,True
canonical_rtl,21,afd88a12-9825-495e-bae5-ead0b7b15a44,18,5c8bbaf4-57a0-4235-822e-871452f3d72e,0.976997912,True,True,False,False,False,True
canonical_rtl,22,b0d68ccc-5724-48c1-9202-c5bb679050fd,21,afd88a12-9825-495e-bae5-ead0b7b15a44,0.970371544,True,True,False,False,False,True
canonical_rtl,23,26d5a50d-2c04-40fb-bf6b-02ece44919d3,21,afd88a12-9825-495e-bae5-ead0b7b15a44,0.971114337,True,True,False,False,False,True
canonical_rtl,24,25bb6223-43fa-4c80-a407-adf2d71b1edd,28,7dd6fd01-2bc4-4f8c-b788-216d0acf1af7,0.997570157,True,True,False,False,False,True
canonical_rtl,25,41f37239-3b04-4e84-9e8f-5cc325e1f38d,24,25bb6223-43fa-4c80-a407-adf2d71b1edd,0.991238534,True,True,False,False,False,True
canonical_rtl,26,6dfdca01-09fc-41c8-8758-66fb36c43f58,28,7dd6fd01-2bc4-4f8c-b788-216d0acf1af7,0.959373593,True,True,False,False,False,False
