candidate_id,problem,kind,top,has_synthesis,code_sha256,code_relpath
t70_01_Prob004_adder_8bit_first_raw,Prob004_adder_8bit,first_raw,adder_8bit,False,5797f9cf9005adfaaec24281180d9a67ead974c97a23328c533679622fe81630,exp/useful_bd_push/t67_rtl_native_seeded_thought_20260623_170935_UTC/hard_tuning/rtl_native_seeded_thought_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen0/g000_thought_0001/code_sample_0/code.sv
t70_02_Prob004_adder_8bit_first_synthesized,Prob004_adder_8bit,first_synthesized,adder_8bit,True,9a9f4bb01301a2017430b1b702bd808efa31f7e719fb375c3945b0384205c758,exp/useful_bd_push/t67_rtl_native_seeded_thought_20260623_170935_UTC/hard_tuning/rtl_native_seeded_thought_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen0/g000_thought_0002/code_sample_0/code.sv
t70_03_Prob004_adder_8bit_last_synthesized,Prob004_adder_8bit,last_synthesized,adder_8bit,True,cc8b12caf895c1460bd52c814ca0d4788c9d2d6038ad41629f673e7c5e860311,exp/useful_bd_push/t67_rtl_native_seeded_thought_20260623_170935_UTC/hard_tuning/rtl_native_seeded_thought_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen3/g003_thought_0016/code_sample_2/code.sv
t70_04_Prob015_multi_pipe_8bit_first_raw,Prob015_multi_pipe_8bit,first_raw,multi_pipe_8bit,True,95fa915b42be28d423ab9b96dc85e69b06aef505e00b9d231d8ab19aa59f5bca,exp/useful_bd_push/t67_rtl_native_seeded_thought_20260623_170935_UTC/hard_tuning/rtl_native_seeded_thought_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen0/g000_thought_0001/code_sample_0/code.sv
t70_05_Prob015_multi_pipe_8bit_last_synthesized,Prob015_multi_pipe_8bit,last_synthesized,multi_pipe_8bit,True,35dc6900874968e7ed32ed407978c981d308fd5269516db906f5e64b6b5f82d1,exp/useful_bd_push/t67_rtl_native_seeded_thought_20260623_170935_UTC/hard_tuning/rtl_native_seeded_thought_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Gen3/g003_thought_0016/code_sample_2/code.sv
t70_06_Prob024_fsm_first_raw,Prob024_fsm,first_raw,fsm,False,9875040d676b3aa093f63065fa9a3dfc1e45d0d7247f5b67a28268b6baf0475a,exp/useful_bd_push/t67_rtl_native_seeded_thought_20260623_170935_UTC/hard_tuning/rtl_native_seeded_thought_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen0/g000_thought_0001/code_sample_0/code.sv
t70_07_Prob024_fsm_first_synthesized,Prob024_fsm,first_synthesized,fsm,True,b8fecf31ade33202deb5566345721aa1d928e332e18951fa91a270a8d764f978,exp/useful_bd_push/t67_rtl_native_seeded_thought_20260623_170935_UTC/hard_tuning/rtl_native_seeded_thought_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen0/g000_thought_0001/code_sample_1/code.sv
t70_08_Prob024_fsm_last_synthesized,Prob024_fsm,last_synthesized,fsm,True,a7653e7ab817112b9998d413e5275ade90642e7d681256771a74fdb03c62c448,exp/useful_bd_push/t67_rtl_native_seeded_thought_20260623_170935_UTC/hard_tuning/rtl_native_seeded_thought_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Gen3/g003_thought_0016/code_sample_2/code.sv
t70_09_Prob037_parallel2serial_first_raw,Prob037_parallel2serial,first_raw,parallel2serial,False,760c1630b1273f5effb3186432f5caa751dd660ae37b237c64485fef8dfb3f6a,exp/useful_bd_push/t67_rtl_native_seeded_thought_20260623_170935_UTC/hard_tuning/rtl_native_seeded_thought_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob037_parallel2serial/Gen0/g000_thought_0001/code_sample_0/code.sv
t70_10_Prob037_parallel2serial_first_synthesized,Prob037_parallel2serial,first_synthesized,parallel2serial,True,7133f647e6a85deaf73b4f8c43cc154ed2816db6b02c3c1d5ca96ff76cc33bc2,exp/useful_bd_push/t67_rtl_native_seeded_thought_20260623_170935_UTC/hard_tuning/rtl_native_seeded_thought_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob037_parallel2serial/Gen0/g000_thought_0001/code_sample_2/code.sv
