index,directory,direct_ppa_artifact,direct_ppa_path,qd_ppa_viewer,qd_ppa_viewer_path,visual_inspection_notes,visual_inspection_path,status
T01,T01_simple_yosys_stat_bd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T01_simple_yosys_stat_bd/figures/seed1_ppa_grid_coverage.png,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T01_simple_yosys_stat_bd/figures/visual_inspection_notes.md,current_replay
T02,T02_motif_pathlet_bd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T02_motif_pathlet_bd/figures/seed1_ppa_grid_coverage.png,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T02_motif_pathlet_bd/figures/visual_inspection_notes.md,current_replay
T03,T03_synthesis_delta_stnod_bd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T03_synthesis_delta_stnod_bd/figures/seed1_ppa_grid_coverage.png,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T03_synthesis_delta_stnod_bd/figures/visual_inspection_notes.md,current_replay
T04,T04_autoqd_mmd_synthesis_bd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T04_autoqd_mmd_synthesis_bd/figures/seed1_ppa_grid_coverage.png,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T04_autoqd_mmd_synthesis_bd/figures/visual_inspection_notes.md,current_replay
T05,T05_vq_elites_codebook_bd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T05_vq_elites_codebook_bd/figures/seed1_ppa_grid_coverage.png,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T05_vq_elites_codebook_bd/figures/visual_inspection_notes.md,current_replay
T06,T06_qwen_projection_bd,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T06_qwen_projection_bd/figures/visual_inspection_notes.md,current_diagnostic
T07,T07_deepgate_family_bd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T07_deepgate_family_bd/figures/deepgate_multi_problem_ppa_pareto_fronts.png,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T07_deepgate_family_bd/figures/visual_inspection_notes.md,current_replay_result
T08,T08_sequential_deepseq_bd,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T08_sequential_deepseq_bd/figures/visual_inspection_notes.md,T0_retrospective_sequential_proxy_not_promoted
T09,T09_nettag_text_graph_bd,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T09_nettag_text_graph_bd/figures/visual_inspection_notes.md,T0_retrospective_text_graph_proxy_not_promoted
T10,T10_circuitfusion_multimodal_bd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T10_circuitfusion_multimodal_bd/figures/t10_t96_rf_deepgate_direct_ppa.png,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T10_circuitfusion_multimodal_bd/figures/visual_inspection_notes.md,T0_retrospective_multimodal_proxy_not_promoted
T11,T11_mgvga_contrastive_bd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T11_mgvga_contrastive_bd/visualizations/direct_ppa_pareto/index.html,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T11_mgvga_contrastive_bd/figures/visual_inspection_notes.md,current_replay_result
T12,T12_lineage_repair_bd,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T12_lineage_repair_bd/figures/visual_inspection_notes.md,current_retrospective_synthesis
T13,T13_aurora_incremental_autoencoder_bd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T13_aurora_incremental_autoencoder_bd/figures/aurora_multi_problem_ppa_pareto_fronts.png,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T13_aurora_incremental_autoencoder_bd/figures/visual_inspection_notes.md,current_replay_result
T14,T14_dehnn_hypergraph_bd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T14_dehnn_hypergraph_bd/figures/hypergraph_multi_problem_ppa_pareto_fronts.png,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T14_dehnn_hypergraph_bd/figures/visual_inspection_notes.md,current_replay_result
T15,T15_masterrtl_sog_bd,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T15_masterrtl_sog_bd/figures/visual_inspection_notes.md,current_structural_proxy_audit
T16,T16_deepcell_multiview_bd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T16_deepcell_multiview_bd/figures/t16_t95_deepgate_direct_ppa.png,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T16_deepcell_multiview_bd/figures/visual_inspection_notes.md,T0_retrospective_multiview_proxy_not_promoted
T17,T17_mome_pareto_archive_bd,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T17_mome_pareto_archive_bd/figures/visual_inspection_notes.md,current_passive_audit
T18,T18_adaptive_emitter_cvt_bd,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T18_adaptive_emitter_cvt_bd/figures/visual_inspection_notes.md,current_retrospective_synthesis
T19,T19_sr_relu_pca_bd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T19_sr_relu_pca_bd/figures/seed1_ppa_grid_coverage.png,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T19_sr_relu_pca_bd/figures/visual_inspection_notes.md,current_replay
T20,T20_sr_raw_pca_bd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T20_sr_raw_pca_bd/figures/seed1_ppa_grid_coverage.png,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T20_sr_raw_pca_bd/figures/visual_inspection_notes.md,current_replay
T21,T21_stnod_motif_hybrid_bd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T21_stnod_motif_hybrid_bd/figures/seed1_ppa_grid_coverage.png,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T21_stnod_motif_hybrid_bd/figures/visual_inspection_notes.md,current_replay
T22,T22_random_descriptor_control,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T22_random_descriptor_control/figures/seed1_ppa_grid_coverage.png,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T22_random_descriptor_control/figures/visual_inspection_notes.md,current_replay
T23,T23_sr_pareto_validation_matrix,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T23_sr_pareto_validation_matrix/figures/visual_inspection_notes.md,current_passive_validation
T24,T24_sr_pareto_live_validation,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T24_sr_pareto_live_validation/figures/visual_inspection_notes.md,current_live_matrix
T25,T25_guarded_sr_raw_pareto_qd,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T25_guarded_sr_raw_pareto_qd/figures/visual_inspection_notes.md,current_live_result
T26,T26_sr_raw_conservative_exploit_qd,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T26_sr_raw_conservative_exploit_qd/figures/visual_inspection_notes.md,current_live_result
T27,T27_t26_live_qd_audit,no,not_found,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T27_t26_live_qd_audit/figures/visual_inspection_notes.md,current_live_audit
T28,T28_t26_family_audit,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T28_t26_family_audit/figures/ppa_pareto_fronts_area_power.png,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T28_t26_family_audit/visualizations/qd_ppa_viewer/index.html,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T28_t26_family_audit/figures/visual_inspection_notes.md,current_family_audit
T29,T29_sr_raw_front_recovery_qd,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T29_sr_raw_front_recovery_qd/figures/t29_ppa_fronts_area_power_zoom.png,no,not_found,yes,docs/journal_features/revamp_history/20260622_010615_KST_useful_bd_push/techniques/T29_sr_raw_front_recovery_qd/figures/visual_inspection_notes.md,current_live_result
