check,status,metric,value,interpretation
MasterRTL SOG graph parse,pass,node_dict_count,51337,Direct analyze.py works with isolated deps on shipped TinyRocket_sog.v.
MasterRTL SOG graph parse,pass,graph_edge_count,65938,"Counted from MasterRTL's defaultdict graph pickle, not networkx accessors."
MasterRTL Area model load,limited_pass,prediction,0.0,Nonzero features and zero labels yield constant-zero predictions.
MasterRTL Power model load,limited_pass,prediction,0.0,Nonzero features and zero labels yield constant-zero predictions.
MasterRTL WNS model load,limited_pass,prediction,0.0,Nonzero features and zero labels yield constant-zero predictions.
MasterRTL TNS model load,limited_pass,prediction,0.0,Nonzero features and zero labels yield constant-zero predictions.
RTLTimer TinyRocket_sog_init_word.pkl,pass,register_count,166,Feature-label artifact is readable and signal-level.
RTLTimer TinyRocket_sog_init_word.pkl,pass,pearson_bog_vs_label,0.546662,Linear BOG slack to net slack alignment check.
RTLTimer TinyRocket_sog_init_word.pkl,pass,spearman_bog_vs_label,0.483940,Rank-order timing-risk sanity check.
RTLTimer TinyRocket_sog_route_word.pkl,pass,register_count,166,Feature-label artifact is readable and signal-level.
RTLTimer TinyRocket_sog_route_word.pkl,pass,pearson_bog_vs_label,0.846441,Linear BOG slack to net slack alignment check.
RTLTimer TinyRocket_sog_route_word.pkl,pass,spearman_bog_vs_label,0.385196,Rank-order timing-risk sanity check.
