lane_id,slug,family,mechanism,new_knobs,status,notes
N01,cell_retention_mode,cell_retention,"V2 with qd_cell_mode swapped: N01a elite_pareto_slot (max 2; T36 one-front-slot semantic); N01b scalar_elite control","qd_cell_mode (+paired capacity)",completed_diagnostic,"seed-1001 retention ladder positive vs classic but below V2; capacity-above-5 follow-up now N09"
N02,curiosity_sampling,parent_selection,"V2 NSGA-II one-parent pool weighted toward under-populated archive cells","qd_curiosity_gamma",completed_retired,"gamma 1.0 lost gshare coverage; gamma 0.5 retained coverage but fell below classic and V2"
N03,archive_parent_lane,parent_selection,"fixed fraction of parents drawn from archive front slots","lane_fraction (0.10/0.30)",completed_diagnostic,"N03b beats classic across screen seeds and is suite AUC/utility candidate but does not displace V2"
N04,budget_shape,budget_shape,"faithful V2 at 6x7 vs matched classic 6x7; 4x11 conditional","none (shape choice)",completed_no_escalation,"HV 101.1% of classic but HV-AUC 90.5%; front/anytime loss; no 4x11"
N05,warmup_init,initialization,"archive pressure starts after fixed generation g0","warmup_generations",completed_parked,"warmup 4 closed; warmup 16 clears classic but does not displace V2; depth interaction remains diagnostic only"
N06,descriptor_bakeoff,descriptor,"first V2-platform descriptor bake-off: wave 1 = journal_graph_testability_3d / size_control_3d / random floor as pure profile swaps; wave 2 = theory_grounded_compact_8d on CVT with paired trio-CVT control","profile choice (wave 2 + archive type)",completed_characterized,"trio wins screen HV; suite descriptor dial characterized; compact_8d health-grounds swap candidate; SR ReLU PCA remains spec-gated"
N07,corrected_suite_completion,revalidation,"V2-faithful descriptor-only due diligence for three never-rerun corrected profiles","descriptor choice",completed_closed,"registered 2026-07-07; N07a 90.7% and N07c 88.1% of classic HV; both descriptor-collapse/front-loss; N07b failed the DeepGate extraction gate"
N08,combination_arm,combination,"pre-registered merge of measured single-factor winners","inherited only",blocked_on_p1,"only from single-factor winners; pre-register before any run"
N09,pareto_capacity,cell_retention,"V2 pareto_front cells with capacity raised from 5 to 7","qd_max_elites_per_cell",completed_diagnostic,"seed-1001 beats classic mean HV/AUC but trails V2; capacity-inert/front-loss; no escalation or scan"
N10,sr_relu_pca,descriptor,"V2-faithful descriptor-only probe using frozen T19 SR ReLU PCA profile","qd_descriptor_profile",completed_diagnostic,"seed-1001 beats classic mean HV/AUC but trails V2; yield-loss/front-loss; no escalation; full-suite use needs a new holdout-clean artifact"
