phase,subset,seed,arm,benchmark,problem,reference_status,headline_eligible
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,classic_revolution,RTLLM,Prob004_adder_8bit,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,sr_raw_conservative_exploit_qd,RTLLM,Prob004_adder_8bit,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,classic_revolution,RTLLM,Prob004_adder_8bit,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,sr_raw_conservative_exploit_qd,RTLLM,Prob004_adder_8bit,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,classic_revolution,RTLLM,Prob015_multi_pipe_8bit,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,sr_raw_conservative_exploit_qd,RTLLM,Prob015_multi_pipe_8bit,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,classic_revolution,RTLLM,Prob015_multi_pipe_8bit,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,sr_raw_conservative_exploit_qd,RTLLM,Prob015_multi_pipe_8bit,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,classic_revolution,RTLLM,Prob024_fsm,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,sr_raw_conservative_exploit_qd,RTLLM,Prob024_fsm,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,classic_revolution,RTLLM,Prob024_fsm,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,sr_raw_conservative_exploit_qd,RTLLM,Prob024_fsm,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,classic_revolution,RTLLM,Prob037_parallel2serial,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,sr_raw_conservative_exploit_qd,RTLLM,Prob037_parallel2serial,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,classic_revolution,RTLLM,Prob037_parallel2serial,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,sr_raw_conservative_exploit_qd,RTLLM,Prob037_parallel2serial,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,classic_revolution,RTLLM,Prob041_traffic_light,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,sr_raw_conservative_exploit_qd,RTLLM,Prob041_traffic_light,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,classic_revolution,RTLLM,Prob041_traffic_light,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,sr_raw_conservative_exploit_qd,RTLLM,Prob041_traffic_light,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,classic_revolution,RTLLM,Prob045_alu,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,sr_raw_conservative_exploit_qd,RTLLM,Prob045_alu,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,classic_revolution,RTLLM,Prob045_alu,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,sr_raw_conservative_exploit_qd,RTLLM,Prob045_alu,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,classic_revolution,RTLLM,Prob049_signal_generator,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,sr_raw_conservative_exploit_qd,RTLLM,Prob049_signal_generator,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,classic_revolution,RTLLM,Prob049_signal_generator,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,sr_raw_conservative_exploit_qd,RTLLM,Prob049_signal_generator,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,classic_revolution,VerilogEval-Spec-to-RTL,Prob098_circuit7,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,sr_raw_conservative_exploit_qd,VerilogEval-Spec-to-RTL,Prob098_circuit7,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,classic_revolution,VerilogEval-Spec-to-RTL,Prob098_circuit7,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,sr_raw_conservative_exploit_qd,VerilogEval-Spec-to-RTL,Prob098_circuit7,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,classic_revolution,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,sr_raw_conservative_exploit_qd,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,classic_revolution,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1002,sr_raw_conservative_exploit_qd,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,reference_available,true
hard_tuning_sanity,data/configs/hard_iteration_subset.yaml,1001,classic_revolution,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,reference_available,true
