problem_id,cluster,candidate_count,valid_ppa_count,pareto_count,cluster_hypervolume,front_hypervolume,total_problem_hypervolume,front_hv_share,best_fitness,best_area,best_power,best_eff_clk_period,representative_rtl_path,representative_netlist_path,shuffled_multi_cluster_front_rate
RTLLM/Prob001_accu,register_sequential,62,62,40,0.0,0.0,0.0,0.0,0.07583123348604481,251.0,0.0271,0.51,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob001_accu/Gen10/Prob001_accu_sample4_M-S/code.sv,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob001_accu/Gen10/Prob001_accu_sample4_M-S/code.syn.v,0.0
RTLLM/Prob002_adder_16bit,arithmetic_additive,1,1,1,0.2051142342841318,0.2051142342841318,0.2051142342841318,1.0,0.3999021508354103,73.0,4.28e-05,0.0,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen2/Prob002_adder_16bit_sample1_M-F/code.sv,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen2/Prob002_adder_16bit_sample1_M-F/code.syn.v,0.0
RTLLM/Prob002_adder_16bit,arithmetic_multiply,16,16,0,0.0,0.0,0.2051142342841318,0.0,0.3045474476137727,99.0,6.45e-05,0.0,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen11/Prob002_adder_16bit_sample7_M-I/code.sv,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen11/Prob002_adder_16bit_sample7_M-I/code.syn.v,0.0
RTLLM/Prob002_adder_16bit,wire_assign,67,67,0,0.0,0.0,0.2051142342841318,0.0,0.23137773469952916,119.0,7.78e-05,0.0,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen0/Prob002_adder_16bit_sample1_initial/code.sv,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen0/Prob002_adder_16bit_sample1_initial/code.syn.v,0.0
RTLLM/Prob003_adder_32bit,wire_assign,45,45,28,0.6744597525026996,0.6744597525026996,0.6744597525026996,1.0,0.5578876849662902,137.0,7.97e-05,0.0,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob003_adder_32bit/Gen0/Prob003_adder_32bit_sample1_initial/code.sv,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob003_adder_32bit/Gen0/Prob003_adder_32bit_sample1_initial/code.syn.v,0.0
RTLLM/Prob004_adder_8bit,arithmetic_additive,9,9,9,0.04095045500505561,0.04095045500505561,0.04095045500505561,1.0,0.3299003322259136,46.0,3.1e-05,0.0,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen1/Prob004_adder_8bit_sample4_M-I/code.sv,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen1/Prob004_adder_8bit_sample4_M-I/code.syn.v,1.0
RTLLM/Prob004_adder_8bit,arithmetic_multiply,1,1,1,0.04095045500505561,0.04095045500505561,0.04095045500505561,1.0,0.1404256343589003,39.0,0.0022,0.0,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen6/Prob004_adder_8bit_sample7_M-R/code.sv,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen6/Prob004_adder_8bit_sample7_M-R/code.syn.v,1.0
RTLLM/Prob004_adder_8bit,control_if,1,1,1,0.0,0.0,0.04095045500505561,0.0,0.3299003322259136,46.0,3.1e-05,0.0,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen8/Prob004_adder_8bit_sample9_M-R/code.sv,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen8/Prob004_adder_8bit_sample9_M-R/code.syn.v,1.0
RTLLM/Prob004_adder_8bit,wire_assign,93,93,50,0.04095045500505561,0.04095045500505561,0.04095045500505561,1.0,0.3299003322259136,46.0,3.1e-05,0.0,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen10/Prob004_adder_8bit_sample8_M-R/code.sv,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob004_adder_8bit/Gen10/Prob004_adder_8bit_sample8_M-R/code.syn.v,1.0
RTLLM/Prob005_adder_bcd,arithmetic_additive,87,87,9,0.022075055187637988,0.022075055187637988,0.022075055187637988,1.0,0.10345842531272997,36.0,0.00403,0.0,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob005_adder_bcd/Gen0/Prob005_adder_bcd_sample1_initial/code.sv,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob005_adder_bcd/Gen0/Prob005_adder_bcd_sample1_initial/code.syn.v,0.22
RTLLM/Prob005_adder_bcd,arithmetic_multiply,3,3,0,0.010988471915624232,0.0,0.022075055187637988,0.0,0.07539857738533234,38.0,0.00421,0.0,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob005_adder_bcd/Gen0/Prob005_adder_bcd_sample2_initial/code.sv,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob005_adder_bcd/Gen0/Prob005_adder_bcd_sample2_initial/code.syn.v,0.22
RTLLM/Prob007_comparator_3bit,arithmetic_multiply,7,7,0,0.0,0.0,0.010313605564549981,0.0,-0.07363434670504282,18.0,0.00114,0.0,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob007_comparator_3bit/Gen10/Prob007_comparator_3bit_sample3_M-E/code.sv,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob007_comparator_3bit/Gen10/Prob007_comparator_3bit_sample3_M-E/code.syn.v,0.75
RTLLM/Prob007_comparator_3bit,mux_ternary,40,40,0,0.0,0.0,0.010313605564549981,0.0,-0.07363434670504282,18.0,0.00114,0.0,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob007_comparator_3bit/Gen4/Prob007_comparator_3bit_sample9_M-I/code.sv,/aux/revolution-history/exp/ablation_pop10_gen20_20260212_115506/revolution/_models_openai-gpt-oss-120b/RTLLM/Prob007_comparator_3bit/Gen4/Prob007_comparator_3bit_sample9_M-I/code.syn.v,0.75
