backend,benchmark,problem_count,pareto_valid_problem_count,mean_hypervolume,mean_pareto_point_count,mean_reference_beating_count,hypervolume_win_count
aurora_raw_impl_compact_delayed_8x5,ALL,46,31,0.06000702407923753,1.1521739130434783,2.152173913043478,2
aurora_raw_impl_compact_delayed_8x5,RTLLM,46,31,0.06000702407923753,1.1521739130434783,2.152173913043478,2
classic_revolution_8x5,ALL,46,33,0.10020535691906296,1.6956521739130435,4.108695652173913,25
classic_revolution_8x5,RTLLM,46,33,0.10020535691906296,1.6956521739130435,4.108695652173913,25
deepgate_delayed_high_exploit_8x5,ALL,46,27,0.05764764467166112,0.7391304347826086,2.260869565217391,1
deepgate_delayed_high_exploit_8x5,RTLLM,46,27,0.05764764467166112,0.7391304347826086,2.260869565217391,1
fg_qdm_rf_leafid_front_credit_8x5,ALL,46,30,0.06139786211218295,1.0434782608695652,2.0869565217391304,0
fg_qdm_rf_leafid_front_credit_8x5,RTLLM,46,30,0.06139786211218295,1.0434782608695652,2.0869565217391304,0
masterrtl_delayed_archive_activation_8x5,ALL,46,31,0.062455554651386525,1.2173913043478262,2.152173913043478,1
masterrtl_delayed_archive_activation_8x5,RTLLM,46,31,0.062455554651386525,1.2173913043478262,2.152173913043478,1
masterrtl_rf_leafid_structural_delayed_8x5,ALL,46,31,0.0712662460671401,1.2173913043478262,2.0,1
masterrtl_rf_leafid_structural_delayed_8x5,RTLLM,46,31,0.0712662460671401,1.2173913043478262,2.0,1
qwen_canonical_rtl_pca3_8x5,ALL,46,28,0.043233579352553266,1.108695652173913,1.565217391304348,1
qwen_canonical_rtl_pca3_8x5,RTLLM,46,28,0.043233579352553266,1.108695652173913,1.565217391304348,1
rf_deepgate_hybrid_delayed_8x5,ALL,46,27,0.07352840921625604,0.8260869565217391,1.5217391304347827,2
rf_deepgate_hybrid_delayed_8x5,RTLLM,46,27,0.07352840921625604,0.8260869565217391,1.5217391304347827,2
